CustomerID,Age,Gender,CityTier,TenureMonths,PreferredCategory,SatisfactionScore,OrderCount,TotalSpend,DaysSinceLastOrder,Complain,CashbackAmount,ChurnStatus
CUST-1000,56,Female,1,15,Electronics,4,10,699.42,11,0,199.73,0
CUST-1001,69,Female,2,28,Electronics,2,15,1420.3,9,1,82.03,0
CUST-1002,46,Female,2,18,Electronics,4,17,1296.66,90,0,90.28,1
CUST-1003,32,Other,1,34,Fashion,4,21,1660.61,47,1,245.2,0
CUST-1004,60,Female,2,22,Electronics,4,9,486.18,13,0,210.11,0
CUST-1005,25,Female,3,11,Books & Media,1,11,874.31,50,0,282.26,0
CUST-1006,38,Female,2,58,Fashion,2,24,3229.56,1,1,187.18,0
CUST-1007,56,Male,2,57,Electronics,2,32,2291.5,26,0,359.56,0
CUST-1008,36,Male,3,13,Home & Kitchen,3,7,354.13,10,0,438.78,0
CUST-1009,40,Female,1,4,Beauty & Care,4,2,227.49,4,0,184.49,0
CUST-1010,28,Female,2,22,Home & Kitchen,4,4,402.8,75,0,136.84,0
CUST-1011,28,Female,3,7,Electronics,4,3,274.14,7,0,102.28,0
CUST-1012,41,Male,1,43,Beauty & Care,5,19,863.37,60,1,327.31,1
CUST-1013,53,Female,2,54,Home & Kitchen,4,18,894.63,18,0,249.74,0
CUST-1014,57,Male,2,24,Electronics,3,10,388.8,1,0,134.61,0
CUST-1015,41,Male,2,4,Electronics,2,4,391.78,46,1,343.91,1
CUST-1016,20,Female,2,28,Fashion,4,12,1387.15,31,0,116.82,0
CUST-1017,39,Female,3,15,Electronics,2,15,1484.37,14,0,299.44,0
CUST-1018,19,Female,2,1,Beauty & Care,1,1,143.5,11,0,287.22,0
CUST-1019,41,Female,1,55,Fashion,3,29,2080.54,2,1,380.4,0
CUST-1020,61,Male,3,3,Beauty & Care,4,6,451.74,99,0,74.8,1
CUST-1021,47,Female,1,14,Fashion,1,9,793.77,23,0,449.54,1
CUST-1022,55,Male,1,38,Electronics,4,16,1249.84,3,0,366.35,0
CUST-1023,19,Female,2,50,Electronics,4,16,1599.38,71,0,147.26,0
CUST-1024,38,Female,2,57,Fashion,3,20,1316.23,11,0,132.53,0
CUST-1025,50,Female,1,1,Home & Kitchen,1,1,43.16,7,0,244.25,0
CUST-1026,29,Female,3,38,Home & Kitchen,2,19,595.08,11,0,417.9,0
CUST-1027,39,Female,2,38,Electronics,4,17,1690.06,29,1,429.33,0
CUST-1028,61,Female,2,21,Electronics,4,12,830.67,2,0,284.21,0
CUST-1029,42,Male,1,48,Electronics,5,17,848.53,23,0,437.36,0
CUST-1030,66,Male,3,29,Home & Kitchen,3,18,1195.71,79,0,52.45,1
CUST-1031,44,Male,3,5,Electronics,2,5,717.88,7,0,65.83,1
CUST-1032,59,Male,2,49,Fashion,2,26,1343.5,14,0,460.32,0
CUST-1033,45,Female,1,10,Fashion,4,3,320.45,17,0,398.9,0
CUST-1034,33,Female,1,28,Books & Media,2,10,976.33,30,0,252.82,0
CUST-1035,32,Male,1,21,Electronics,3,10,1252.43,88,0,389.12,0
CUST-1036,64,Male,1,50,Electronics,3,22,1788.76,17,0,480.04,0
CUST-1037,68,Male,1,7,Home & Kitchen,1,3,114.57,2,0,397.44,0
CUST-1038,61,Female,3,3,Fashion,2,3,344.33,14,0,429.07,1
CUST-1039,69,Female,2,45,Electronics,3,19,1472.6,7,0,392.27,0
CUST-1040,20,Male,1,47,Books & Media,2,16,1971.74,36,0,125.69,0
CUST-1041,54,Female,1,20,Beauty & Care,2,10,1094.79,1,0,425.11,0
CUST-1042,68,Female,1,19,Electronics,4,7,804.13,12,0,137.8,0
CUST-1043,24,Male,1,35,Electronics,4,14,2184.76,27,1,451.68,0
CUST-1044,38,Female,1,4,Fashion,2,3,280.38,11,0,256.39,0
CUST-1045,26,Female,1,5,Home & Kitchen,4,4,513.14,28,0,354.64,0
CUST-1046,56,Male,2,1,Electronics,3,1,72.85,4,0,273.76,0
CUST-1047,35,Male,3,4,Home & Kitchen,3,2,202.44,100,0,92.3,1
CUST-1048,21,Male,1,12,Home & Kitchen,5,8,559.46,12,0,180.83,0
CUST-1049,42,Male,1,60,Electronics,4,25,2484.43,89,1,492.68,0
CUST-1050,31,Female,3,27,Home & Kitchen,4,13,1251.17,13,0,482.32,0
CUST-1051,67,Female,1,56,Books & Media,2,26,602.76,53,1,194.22,0
CUST-1052,26,Male,1,42,Electronics,1,21,1399.61,9,1,498.33,1
CUST-1053,43,Male,3,23,Electronics,5,14,1286.73,38,0,430.5,0
CUST-1054,19,Male,1,25,Fashion,3,10,200.0,13,0,324.93,0
CUST-1055,37,Male,2,21,Beauty & Care,2,9,739.12,24,0,68.06,0
CUST-1056,45,Female,2,58,Books & Media,4,26,2996.61,39,0,455.65,0
